,timestamp,temperature_difference_c,Conductive energy (J),Air change energy (J),Radiant energy (J),HVAC energy (J),hvac_mode,Net energy xfer,ΔT,Outdoor Temperature (C),Indoor Temperature (C),HVAC energy use (kWh)
3396,2022-05-22 12:30:00-08:00,0.7512074817280947,40797.18551925435,27573.733446960654,900797.8679551792,0,off,969168.7869213942,0.03106310214491648,20.9,20.17985562041682,0.0
3397,2022-05-22 13:30:00-08:00,0.9201443795831814,49971.94765951744,33774.71134470031,754368.0350237022,0,off,838114.6940279199,0.026862650449612818,21.1,20.206718270866432,0.0
3398,2022-05-22 14:30:00-08:00,0.5932817291335688,32220.42559129772,21776.929351726292,510525.1672394567,0,off,564522.5221824808,0.01809367058277182,20.8,20.224811941449204,0.0
3399,2022-05-22 15:30:00-08:00,-0.524811941449201,-28501.91279880374,-19263.685380253024,202260.80642652285,0,off,154495.20824746607,0.004951769495111092,19.700000000000003,20.229763710944315,0.0
3400,2022-05-22 16:30:00-08:00,-2.229763710944315,-121095.817057401,-81845.44444877957,0.0,0,off,-202941.26150618057,-0.006504527612377582,18.0,20.223259183331937,0.0
3401,2022-05-22 17:30:00-08:00,-4.623259183331937,-251083.7114828689,-169700.807670537,0.0,0,off,-420784.5191534059,-0.013486683306198908,15.6,20.20977250002574,0.0
3402,2022-05-22 18:30:00-08:00,-7.709772500025739,-418708.5813778471,-282994.00235388597,0.0,0,off,-701702.583731733,-0.022490467427299137,12.5,20.18728203259844,0.0
3403,2022-05-22 19:30:00-08:00,-9.58728203259844,-520673.8926635272,-351909.6463730251,0.0,0,off,-872583.5390365523,-0.02796742112296642,10.6,20.159314611475473,0.0
3404,2022-05-22 20:30:00-08:00,-9.459314611475474,-513724.1341121822,-347212.48926827626,0.0,0,off,-860936.6233804584,-0.027594122544245463,10.7,20.13172048893123,0.0
3405,2022-05-22 21:30:00-08:00,-9.231720488931229,-501363.76781342056,-338858.4461819463,0.0,0,off,-840222.2139953668,-0.026930199166518166,10.9,20.10479028976471,0.0
3406,2022-05-22 22:30:00-08:00,-9.404790289764712,-510762.98300246696,-345211.12593018706,0.0,0,off,-855974.108932654,-0.027435067593995322,10.7,20.077355222170716,0.0
3407,2022-05-22 23:30:00-08:00,-10.077355222170716,-547289.1851350548,-369898.2152137957,0.0,0,off,-917187.4003488505,-0.029397032062463156,10.0,20.047958190108254,0.0
3408,2022-05-23 00:30:00-08:00,-11.147958190108254,-605432.3599074027,-409195.6418016206,0.0,0,off,-1014628.0017090233,-0.03252012825990459,8.9,20.01543806184835,0.0
3409,2022-05-23 01:30:00-08:00,-12.31543806184835,-668836.8041866411,-452049.0206231395,0.0,0,off,-1120885.8248097806,-0.0359258277182622,7.7,19.979512234130087,0.0
3410,2022-05-23 02:30:00-08:00,-13.379512234130086,-726625.4078264248,-491106.80200571613,0.0,6000000,heating,4782267.790167859,0.15327781378743138,6.6000000000000005,20.13279004791752,1.6666666666666667
3411,2022-05-23 03:30:00-08:00,-14.33279004791752,-778396.7929183429,-526097.7052882666,0.0,0,off,-1304494.4982066094,-0.04181072109636569,5.800000000000001,20.090979326821156,0.0
3412,2022-05-23 04:30:00-08:00,-13.990979326821154,-759833.4588991458,-513551.24117272947,0.0,0,off,-1273384.7000718752,-0.04081361218179087,6.1000000000000005,20.050165714639366,0.0
3413,2022-05-23 05:30:00-08:00,-11.350165714639365,-616414.0102401545,-416617.847407939,0.0,0,off,-1033031.8576480935,-0.033109995437438894,8.700000000000001,20.017055719201927,0.0
3414,2022-05-23 06:30:00-08:00,-7.917055719201928,-429965.8866542876,-290602.51581070607,0.0,0,off,-720568.4024649936,-0.02309514110464723,12.1,19.99396057809728,0.0
3415,2022-05-23 07:30:00-08:00,-5.2939605780972805,-287508.7071010149,-194319.49416074727,0.0,6000000,heating,5518171.7987382375,0.17686448072878966,14.7,20.17082505882607,1.6666666666666667
3416,2022-05-23 08:30:00-08:00,-3.270825058826066,-177634.62155486475,-120058.51980632149,240269.08688205134,0,off,-57424.05447913488,-0.0018405145666389384,16.900000000000002,20.16898454425943,0.0
3417,2022-05-23 09:30:00-08:00,-1.568984544259429,-85209.68585369286,-57590.96209516963,548099.5844718415,0,off,405298.93652297894,0.012990350529582658,18.6,20.181974894789015,0.0
3418,2022-05-23 10:30:00-08:00,-0.18197489478901474,-9882.840258027973,-6679.549079314424,778952.8940314791,0,off,762390.5046941368,0.024435593099171052,20.0,20.206410487888185,0.0
3419,2022-05-23 11:30:00-08:00,0.9935895121118179,53960.66551728441,36470.57973869261,897566.6061006591,0,off,987997.8513566362,0.031666597799892185,21.200000000000003,20.238077085688076,0.0
3420,2022-05-23 12:30:00-08:00,1.6619229143119227,90257.05827358192,61002.34697239057,830136.282203072,0,off,981395.6874490445,0.03145498998234117,21.9,20.269532075670416,0.0
3421,2022-05-23 13:30:00-08:00,2.030467924329585,110272.29975027461,74530.11675186243,664956.3472472873,0,off,849758.7637494244,0.02723585781248155,22.3,20.296767933482897,0.0
3422,2022-05-23 14:30:00-08:00,1.8032320665171042,97931.39038329596,66189.22408862783,501130.65764453943,0,off,665251.2721164632,0.021322156157578948,22.1,20.318090089640478,0.0
3423,2022-05-23 15:30:00-08:00,1.181909910359522,64188.12252649502,43383.04612143187,194684.71913801652,0,off,302255.8877859434,0.00968768871108793,21.5,20.327777778351567,0.0
3424,2022-05-23 16:30:00-08:00,0.1722222216484326,9353.18417085791,6321.5686063895255,0.0,0,off,15674.752777247435,0.0005023959223476742,20.5,20.328280174273914,0.0
3425,2022-05-23 17:30:00-08:00,-2.2282801742739125,-121015.24794402129,-81790.98992628949,0.0,0,off,-202806.23787031078,-0.0065001999317407305,18.1,20.321779974342174,0.0
3426,2022-05-23 18:30:00-08:00,-4.821779974342174,-261865.139699801,-176987.6884699716,0.0,0,off,-438852.8281697726,-0.014065795774672199,15.5,20.3077141785675,0.0
3427,2022-05-23 19:30:00-08:00,-6.0077141785675,-326271.8168432568,-220518.44984859534,0.0,0,off,-546790.2666918521,-0.017525329060636287,14.3,20.290188849506865,0.0
3428,2022-05-23 20:30:00-08:00,-6.590188849506866,-357905.3239482636,-241898.6965936638,0.0,0,off,-599804.0205419274,-0.01922448783788229,13.7,20.270964361668984,0.0
3429,2022-05-23 21:30:00-08:00,-7.3709643616689835,-400308.3140586554,-270557.7506871439,0.0,0,off,-670866.0647457993,-0.02150211745980126,12.9,20.249462244209184,0.0
3430,2022-05-23 22:30:00-08:00,-8.249462244209184,-448018.4899608136,-302803.79061097244,0.0,0,off,-750822.280571786,-0.02406481668499314,12.0,20.22539742752419,0.0
3431,2022-05-23 23:30:00-08:00,-9.425397427524189,-511882.1321625103,-345967.5291044173,0.0,0,off,-857849.6612669276,-0.027495181450863063,10.8,20.197902246073326,0.0
3432,2022-05-24 00:30:00-08:00,-10.697902246073326,-580990.3564803362,-392675.94126763265,0.0,0,off,-973666.2977479688,-0.03120725313294772,9.5,20.16669499294038,0.0
3433,2022-05-24 01:30:00-08:00,-11.566694992940379,-628173.4579986822,-424565.7456232233,0.0,0,off,-1052739.2036219055,-0.03374164114172774,8.6,20.13295335179865,0.0
3434,2022-05-24 02:30:00-08:00,-11.83295335179865,-642633.6330190435,-434338.99361896224,0.0,0,off,-1076972.6266380057,-0.0345183534178848,8.3,20.098434998380768,0.0
3435,2022-05-24 03:30:00-08:00,-11.798434998380767,-640758.9822701332,-433071.9669993882,0.0,0,off,-1073830.9492695215,-0.03441765863043338,8.3,20.064017339750333,0.0
3436,2022-05-24 04:30:00-08:00,-11.164017339750332,-606304.5132380939,-409785.107059071,0.0,0,off,-1016089.6202971649,-0.03256697500952452,8.9,20.03145036474081,0.0
3437,2022-05-24 05:30:00-08:00,-9.33145036474081,-506779.9788392426,-342519.1192704862,0.0,0,off,-849299.0981097288,-0.027221124939414382,10.7,20.004229239801393,0.0
3438,2022-05-24 06:30:00-08:00,-6.604229239801393,-358667.8408580937,-242414.0615080041,0.0,0,off,-601081.9023660978,-0.01926544558865698,13.4,19.984963794212735,0.0
3439,2022-05-24 07:30:00-08:00,-3.3849637942127337,-183833.36061932528,-124248.08279933801,0.0,6000000,heating,5691918.556581337,0.18243328706991466,16.6,20.16739708128265,1.6666666666666667
3440,2022-05-24 08:30:00-08:00,-0.36739708128265036,-19952.898831412538,-13485.634042374932,241929.86650925258,0,off,208491.33363546513,0.006682414539598241,19.8,20.174079495822248,0.0
3441,2022-05-24 09:30:00-08:00,1.7259205041777506,93732.6913177778,63351.434976877434,561610.7963483684,0,off,718694.9226430237,0.023035093674455887,21.9,20.197114589496703,0.0
3442,2022-05-24 10:30:00-08:00,3.0028854105033,163083.13770190667,110223.5585972976,797396.6381394347,0,off,1070703.334438639,0.034317414565340994,23.200000000000003,20.231432004062043,0.0
3443,2022-05-24 11:30:00-08:00,3.96856799593796,215528.21119885982,145669.7899685463,914269.5770582823,0,off,1275467.5782256885,0.040880371096977196,24.200000000000003,20.27231237515902,0.0
3444,2022-05-24 12:30:00-08:00,4.527687624840979,245893.33372844287,166192.76928828066,900242.5120551904,0,off,1312328.615071914,0.04206181458563827,24.8,20.314374189744658,0.0
3445,2022-05-24 13:30:00-08:00,4.685625810255342,254470.7688680684,171990.02974113726,761251.9721318082,0,off,1187712.7707410138,0.03806771701092993,25.0,20.352441906755587,0.0
3446,2022-05-24 14:30:00-08:00,4.447558093244414,241541.59410173443,163251.54412850083,520627.3151756221,0,off,925420.4534058573,0.02966091196813645,24.8,20.382102818723723,0.0
3447,2022-05-24 15:30:00-08:00,3.8178971812762796,207345.45832751034,140139.28477155286,186769.17561908366,0,off,534253.9187181469,0.01712352303583804,24.200000000000003,20.39922634175956,0.0
3448,2022-05-24 16:30:00-08:00,2.800773658240441,152106.688647218,102804.86839659032,0.0,0,off,254911.5570438083,0.008170242212942574,23.200000000000003,20.407396583972503,0.0
3449,2022-05-24 17:30:00-08:00,0.5926034160274973,32183.587212685095,21752.031270656375,0.0,0,off,53935.61848334147,0.001728705720619919,21.0,20.409125289693122,0.0
3450,2022-05-24 18:30:00-08:00,-2.0091252896931238,-109113.20662898361,-73746.71651579466,0.0,0,off,-182859.92314477827,-0.005860894972589047,18.4,20.403264394720534,0.0
3451,2022-05-24 19:30:00-08:00,-3.103264394720533,-168534.60103388003,-113908.0577826831,0.0,0,off,-282442.65881656314,-0.009052649321043691,17.3,20.394211745399488,0.0
3452,2022-05-24 20:30:00-08:00,-3.694211745399489,-200628.2493057268,-135599.30171348713,0.0,0,off,-336227.5510192139,-0.01077652407112865,16.7,20.38343522132836,0.0
3453,2022-05-24 21:30:00-08:00,-4.583435221328358,-248920.91943740862,-168239.03400640562,0.0,0,off,-417159.95344381424,-0.013370511328327379,15.8,20.37006471000003,0.0
3454,2022-05-24 22:30:00-08:00,-5.67006471000003,-307934.4755032371,-208124.72817882465,0.0,0,off,-516059.20368206175,-0.016540359092373773,14.7,20.353524350907655,0.0
3455,2022-05-24 23:30:00-08:00,-6.953524350907655,-377637.6432034978,-255235.24676272803,0.0,0,off,-632872.8899662258,-0.020284387498917495,13.4,20.333239963408737,0.0
3456,2022-05-25 00:30:00-08:00,-8.033239963408736,-436275.7148716737,-294867.1610098266,0.0,0,off,-731142.8758815003,-0.023434066534663473,12.3,20.309805896874074,0.0
3457,2022-05-25 01:30:00-08:00,-8.809805896874074,-478450.0877661463,-323371.69880290725,0.0,0,off,-801821.7865690535,-0.025699416236187614,11.5,20.284106480637888,0.0
3458,2022-05-25 02:30:00-08:00,-9.484106480637887,-515070.55106114724,-348122.49670106126,0.0,0,off,-863193.0477622085,-0.027666443838532322,10.8,20.256440036799354,0.0
3459,2022-05-25 03:30:00-08:00,-9.956440036799354,-540722.4251257658,-365459.9166448704,0.0,0,off,-906182.3417706363,-0.02904430582598193,10.3,20.227395730973374,0.0
3460,2022-05-25 04:30:00-08:00,-9.427395730973373,-511990.65764784307,-346040.87859572854,0.0,0,off,-858031.5362435717,-0.02750101077703755,10.8,20.199894720196337,0.0
3461,2022-05-25 05:30:00-08:00,-6.899894720196336,-374725.08169861825,-253266.72384720668,0.0,0,off,-627991.8055458249,-0.020127942485443105,13.3,20.179766777710892,0.0
3462,2022-05-25 06:30:00-08:00,-3.179766777710892,-172689.35453066754,-116716.14525244686,0.0,0,off,-289405.4997831144,-0.009275817300740846,17.0,20.170490960410152,0.0
3463,2022-05-25 07:30:00-08:00,0.12950903958984838,7033.48201806108,4753.743570827376,0.0,0,off,11787.225588888457,0.00037779569195155313,20.3,20.170868756102102,0.0
3464,2022-05-25 08:30:00-08:00,2.8291312438978977,153646.75542115906,103845.75859954636,231042.94506786423,0,off,488535.4590885696,0.015658187791300307,23.0,20.1865269438934,0.0
3465,2022-05-25 09:30:00-08:00,4.713473056106597,255983.1196936758,173012.18747120688,548358.5168942388,0,off,977353.8240591214,0.031325443078817995,24.9,20.21785238697222,0.0
3466,2022-05-25 10:30:00-08:00,5.882147613027783,319452.44590521057,215909.41826643157,785241.1140649841,0,off,1320602.9782366264,0.0423270185332252,26.1,20.260179405505443,0.0
3467,2022-05-25 11:30:00-08:00,6.539820594494557,355169.88388143794,240049.88535085905,901683.196482734,0,off,1496902.9657150311,0.04797765915753305,26.8,20.308157064662975,0.0
3468,2022-05-25 12:30:00-08:00,6.791842935337026,368856.91768293106,249300.58774413556,844703.1713129473,0,off,1462860.676740014,0.04688656015192352,27.1,20.355043624814897,0.0
3469,2022-05-25 13:30:00-08:00,6.444956375185104,350017.9208772837,236567.81047738265,729036.148590566,0,off,1315621.8799452323,0.042167367946962575,26.8,20.39721099276186,0.0
