,timestamp,fromba,generation_type,Usage (MWh)
290,2024-01-27,BANC,Natural gas,3.3532509615659887e-06
291,2024-01-27,BANC,Other,4.8957359036484804e-08
292,2024-01-27,BANC,Solar,8.098308451879658e-08
293,2024-01-27,BANC,Hydro,9.189020659904292e-07
294,2024-01-27,CISO,Petroleum,1.1333058502245893e-26
295,2024-01-27,CISO,Solar,7.941455967321056e-25
296,2024-01-27,CISO,Hydro,4.178654704641498e-25
297,2024-01-27,CISO,Natural gas,2.396438866099454e-24
298,2024-01-27,CISO,Nuclear,5.572395060483821e-25
299,2024-01-27,CISO,Other,8.386873909723638e-27
300,2024-01-27,CISO,Coal,0.0
301,2024-01-27,CISO,Wind,2.153999697034652e-25
302,2024-01-27,TIDC,Hydro,0.0
303,2024-01-27,TIDC,Natural gas,0.0
304,2024-01-26,BPAT,Hydro,0.0
305,2024-01-26,BPAT,Solar,0.0
306,2024-01-26,BPAT,Nuclear,0.0
307,2024-01-26,BPAT,Natural gas,0.0
308,2024-01-26,BPAT,Wind,0.0
309,2024-01-26,BPAT,Other,0.0
310,2024-01-26,CISO,Solar,inf
311,2024-01-26,CISO,Hydro,inf
312,2024-01-26,CISO,Nuclear,inf
313,2024-01-26,CISO,Natural gas,inf
314,2024-01-26,CISO,Wind,inf
315,2024-01-26,CISO,Coal,
316,2024-01-26,CISO,Petroleum,inf
317,2024-01-26,CISO,Other,-inf
318,2024-01-26,TIDC,Hydro,0.0
319,2024-01-26,TIDC,Natural gas,0.0
320,2024-01-26,BANC,Natural gas,4.056254558805649e-06
321,2024-01-26,BANC,Other,4.535905000906977e-08
322,2024-01-26,BANC,Hydro,8.21379870353941e-07
323,2024-01-26,BANC,Solar,6.355183971460453e-08
324,2024-01-25,CISO,Solar,inf
325,2024-01-25,CISO,Nuclear,inf
326,2024-01-25,CISO,Coal,
327,2024-01-25,CISO,Wind,inf
328,2024-01-25,CISO,Petroleum,inf
329,2024-01-25,CISO,Hydro,inf
330,2024-01-25,CISO,Natural gas,inf
331,2024-01-25,CISO,Other,-inf
332,2024-01-25,TIDC,Natural gas,0.0
333,2024-01-25,TIDC,Hydro,0.0
334,2024-01-25,BPAT,Hydro,0.0
335,2024-01-25,BPAT,Nuclear,0.0
336,2024-01-25,BPAT,Natural gas,0.0
