,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
63,2024-01-27,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,617,megawatthours,2024-01-27
64,2024-01-26,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,517,megawatthours,2024-01-26
65,2024-01-26,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32998,megawatthours,2024-01-26
66,2024-01-26,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,369,megawatthours,2024-01-26
67,2024-01-26,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6682,megawatthours,2024-01-26
68,2024-01-25,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7468,megawatthours,2024-01-25
69,2024-01-25,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,27926,megawatthours,2024-01-25
70,2024-01-25,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1168,megawatthours,2024-01-25
71,2024-01-25,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,371,megawatthours,2024-01-25
72,2024-01-24,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,37632,megawatthours,2024-01-24
73,2024-01-24,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,372,megawatthours,2024-01-24
74,2024-01-24,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,259,megawatthours,2024-01-24
75,2024-01-24,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7009,megawatthours,2024-01-24
76,2024-01-23,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,8757,megawatthours,2024-01-23
77,2024-01-23,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,34684,megawatthours,2024-01-23
78,2024-01-23,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,680,megawatthours,2024-01-23
79,2024-01-23,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,365,megawatthours,2024-01-23
80,2024-01-22,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,371,megawatthours,2024-01-22
81,2024-01-22,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7276,megawatthours,2024-01-22
82,2024-01-22,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,37070,megawatthours,2024-01-22
83,2024-01-22,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,269,megawatthours,2024-01-22
84,2024-01-21,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,368,megawatthours,2024-01-21
85,2024-01-21,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6557,megawatthours,2024-01-21
86,2024-01-21,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,29859,megawatthours,2024-01-21
87,2024-01-21,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,510,megawatthours,2024-01-21
88,2024-01-20,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,38002,megawatthours,2024-01-20
89,2024-01-20,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,456,megawatthours,2024-01-20
