,timestamp,fromba,Power consumed locally (MWh)
247,2023-05-06,CISO,0
248,2023-05-06,TIDC,0
249,2023-05-07,BPAT,15990
250,2023-05-07,CISO,0
251,2023-05-07,TIDC,0
252,2023-05-08,BPAT,11808
253,2023-05-08,CISO,0
254,2023-05-08,TIDC,1521
255,2023-05-09,BPAT,16453
256,2023-05-09,CISO,0
257,2023-05-09,TIDC,1124
258,2023-05-10,BPAT,11615
259,2023-05-10,CISO,0
260,2023-05-10,TIDC,2519
261,2023-05-11,BPAT,9379
262,2023-05-11,CISO,0
263,2023-05-11,TIDC,4513
264,2023-05-12,BPAT,15361
265,2023-05-12,CISO,0
266,2023-05-12,TIDC,2865
267,2023-05-13,BPAT,17558
268,2023-05-13,CISO,0
269,2023-05-13,TIDC,3692
270,2023-05-14,BPAT,15701
271,2023-05-14,CISO,0
272,2023-05-14,TIDC,2424
273,2023-05-15,BPAT,16815
274,2023-05-15,CISO,0
275,2023-05-15,TIDC,2215
276,2023-05-16,BPAT,26786
277,2023-05-16,CISO,0
278,2023-05-16,TIDC,2111
279,2023-05-17,BPAT,24577
280,2023-05-17,CISO,0
281,2023-05-17,TIDC,1655
282,2023-05-18,BPAT,25008
283,2023-05-18,CISO,0
284,2023-05-18,TIDC,1933
285,2023-05-19,BPAT,23129
286,2023-05-19,CISO,0
287,2023-05-19,TIDC,1453
288,2023-05-20,BPAT,18236
289,2023-05-20,CISO,0
290,2023-05-20,TIDC,243
291,2023-05-21,BPAT,27357
292,2023-05-21,CISO,0
293,2023-05-21,TIDC,58
294,2023-05-22,BPAT,36796
295,2023-05-22,CISO,0
296,2023-05-22,TIDC,0
297,2023-05-23,BPAT,28524
298,2023-05-23,CISO,0
299,2023-05-23,TIDC,0
300,2023-05-24,BPAT,24269
301,2023-05-24,CISO,0
302,2023-05-24,TIDC,1624
303,2023-05-25,BPAT,17730
304,2023-05-25,CISO,0
305,2023-05-25,TIDC,2308
306,2023-05-26,BPAT,14737
307,2023-05-26,CISO,0
308,2023-05-26,TIDC,2655
309,2023-05-27,BPAT,12859
310,2023-05-27,CISO,0
311,2023-05-27,TIDC,2931
312,2023-05-28,BPAT,16600
313,2023-05-28,CISO,0
314,2023-05-28,TIDC,2096
315,2023-05-29,BPAT,12160
316,2023-05-29,CISO,0
317,2023-05-29,TIDC,1199
318,2023-05-30,BPAT,18238
319,2023-05-30,CISO,0
320,2023-05-30,TIDC,1004
321,2023-05-31,BPAT,15136
322,2023-05-31,CISO,0
323,2023-05-31,TIDC,2522
324,2023-06-01,BPAT,5963
325,2023-06-01,CISO,0
326,2023-06-01,TIDC,3855
327,2023-06-02,BPAT,9215
328,2023-06-02,CISO,0
329,2023-06-02,TIDC,3828
330,2023-06-03,BPAT,4510
331,2023-06-03,CISO,0
332,2023-06-03,TIDC,5370
333,2023-06-04,BPAT,1874
334,2023-06-04,CISO,3431
335,2023-06-04,TIDC,6295
336,2023-06-05,BPAT,0
337,2023-06-05,CISO,7174
338,2023-06-05,TIDC,3142
339,2023-06-06,BPAT,0
340,2023-06-06,CISO,4567
341,2023-06-06,TIDC,3740
342,2023-06-07,BPAT,0
343,2023-06-07,CISO,11259
344,2023-06-07,TIDC,3896
345,2023-06-08,BPAT,0
346,2023-06-08,CISO,2657
347,2023-06-08,TIDC,5905
348,2023-06-09,BPAT,0
349,2023-06-09,CISO,5732
350,2023-06-09,TIDC,5012
351,2023-06-10,BPAT,0
352,2023-06-10,CISO,2931
353,2023-06-10,TIDC,4762
354,2023-06-11,BPAT,0
355,2023-06-11,CISO,6468
356,2023-06-11,TIDC,5146
357,2023-06-12,BPAT,0
358,2023-06-12,CISO,5810
359,2023-06-12,TIDC,6623
360,2023-06-13,BPAT,12204
361,2023-06-13,CISO,0
362,2023-06-13,TIDC,2440
363,2023-06-14,BPAT,23623
364,2023-06-14,CISO,0
365,2023-06-14,TIDC,1382
366,2023-06-15,BPAT,10102
367,2023-06-15,CISO,175
368,2023-06-15,TIDC,3466
369,2023-06-16,BPAT,9234
370,2023-06-16,CISO,0
371,2023-06-16,TIDC,4180
372,2023-06-17,BPAT,14295
373,2023-06-17,CISO,0
374,2023-06-17,TIDC,2777
375,2023-06-18,BPAT,14400
376,2023-06-18,CISO,0
377,2023-06-18,TIDC,3923
378,2023-06-19,BPAT,9549
379,2023-06-19,CISO,0
